Loi,Groupe,Député,Vote
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Mouvement Démocrate (MoDem) et Démocrates apparentés,M. Mohamed Laqhila,Pour
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Mouvement Démocrate (MoDem) et Démocrates apparentés,Mme Florence Lasserre,Pour
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Mouvement Démocrate (MoDem) et Démocrates apparentés,M. Patrick Loiseau,Pour
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Mouvement Démocrate (MoDem) et Démocrates apparentés,Mme Aude Luquet,Pour
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Mouvement Démocrate (MoDem) et Démocrates apparentés,M. Jean-Paul Mattei,Pour
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Mouvement Démocrate (MoDem) et Démocrates apparentés,Mme Sophie Mette,Pour
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Mouvement Démocrate (MoDem) et Démocrates apparentés,M. Bruno Millienne,Pour
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Mouvement Démocrate (MoDem) et Démocrates apparentés,M. Jimmy Pahun,Pour
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Mouvement Démocrate (MoDem) et Démocrates apparentés,Mme Josy Poueyto,Pour
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Mouvement Démocrate (MoDem) et Démocrates apparentés,Mme Sabine Thillaye,Pour
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Mouvement Démocrate (MoDem) et Démocrates apparentés,Mme Frédérique Tuffnell,Pour
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Mouvement Démocrate (MoDem) et Démocrates apparentés,M. Nicolas Turquois,Pour
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Mouvement Démocrate (MoDem) et Démocrates apparentés,Mme Laurence Vichnievsky,Pour
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Mouvement Démocrate (MoDem) et Démocrates apparentés,M. Sylvain Waserman,Pour
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Mouvement Démocrate (MoDem) et Démocrates apparentés,M. Philippe Vigier,Abstention
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Socialistes et apparentés,Mme Lamia El Aaraje,Contre
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Socialistes et apparentés,M. Olivier Faure,Contre
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Socialistes et apparentés,M. Guillaume Garot,Contre
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Socialistes et apparentés,Mme Chantal Jourdan,Contre
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Socialistes et apparentés,M. Régis Juanico,Contre
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Socialistes et apparentés,M. Gérard Leseul,Contre
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Socialistes et apparentés,M. Philippe Naillet,Contre
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Socialistes et apparentés,Mme Christine Pirès Beaune,Contre
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Socialistes et apparentés,M. Dominique Potier,Contre
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Socialistes et apparentés,Mme Valérie Rabault,Contre
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Socialistes et apparentés,M. Boris Vallaud,Contre
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Socialistes et apparentés,M. Hervé Saulignac,Abstention
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Socialistes et apparentés,Mme Cécile Untermaier,Abstention
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Socialistes et apparentés,M. David Habib(Président de séance),Non votant
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Agir ensemble,M. Olivier Becht,Pour
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Agir ensemble,M. Pierre-Yves Bournazel,Pour
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Agir ensemble,Mme Annie Chapelier,Pour
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Agir ensemble,M. Paul Christophe,Pour
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Agir ensemble,Mme Agnès Firmin Le Bodo,Pour
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Agir ensemble,M. Antoine Herth,Pour
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Agir ensemble,M. Loïc Kervran,Pour
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Agir ensemble,Mme Aina Kuric,Pour
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Agir ensemble,M. Luc Lamirault,Pour
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Agir ensemble,M. Jean-Charles Larsonneur,Pour
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Agir ensemble,M. Vincent Ledoux,Pour
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Agir ensemble,Mme Patricia Lemoine,Pour
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Agir ensemble,Mme Alexandra Louis,Pour
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Agir ensemble,Mme Lise Magnier,Pour
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Agir ensemble,Mme Valérie Petit,Pour
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Agir ensemble,M. Benoit Potterie,Pour
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Agir ensemble,Mme Maina Sage,Pour
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,UDI et Indépendants,M. Thierry Benoit,Abstention
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,UDI et Indépendants,M. Pascal Brindeau,Abstention
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,UDI et Indépendants,M. Yannick Favennec-Bécot,Abstention
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,UDI et Indépendants,M. Grégory Labille,Abstention
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,UDI et Indépendants,M. Pierre Morel-À-L'Huissier,Abstention
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,UDI et Indépendants,Mme Sophie Métadier,Abstention
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,UDI et Indépendants,M. Christophe Naegelen,Abstention
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,UDI et Indépendants,Mme Valérie Six,Abstention
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,La France insoumise,M. Ugo Bernalicis,Contre
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,La France insoumise,M. Alexis Corbière,Contre
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,La France insoumise,Mme Caroline Fiat,Contre
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,La France insoumise,M. Bastien Lachaud,Contre
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,La France insoumise,M. Jean-Luc Mélenchon,Contre
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,La France insoumise,M. Loïc Prud'homme,Contre
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,La France insoumise,M. Adrien Quatennens,Contre
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,La France insoumise,Mme Sabine Rubin,Contre
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,La France insoumise,M. François Ruffin,Contre
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,La France insoumise,Mme Bénédicte Taurine,Contre
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Libertés et Territoires,M. Benoit Simian,Pour
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Libertés et Territoires,M. Charles de Courson,Contre
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Libertés et Territoires,M. François-Michel Lambert,Contre
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Libertés et Territoires,M. Bertrand Pancher,Contre
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Libertés et Territoires,M. Jean-Félix Acquaviva,Abstention
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Libertés et Territoires,M. Michel Castellani,Abstention
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Libertés et Territoires,M. Paul-André Colombani,Abstention
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Libertés et Territoires,Mme Jeanine Dubié,Abstention
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Libertés et Territoires,M. Olivier Falorni,Abstention
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Libertés et Territoires,M. Paul Molac,Abstention
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Libertés et Territoires,Mme Sylvia Pinel,Abstention
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Gauche démocrate et républicaine,M. Pierre Dharréville,Contre
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Gauche démocrate et républicaine,M. Jean-Paul Dufrègne,Contre
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Gauche démocrate et républicaine,M. Stéphane Peu,Contre
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Gauche démocrate et républicaine,M. Hubert Wulfranc,Contre
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Députés non inscrits,Mme Delphine Batho,Contre
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Députés non inscrits,Mme Émilie Cariou,Contre
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Députés non inscrits,M. Nicolas Dupont-Aignan,Contre
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Députés non inscrits,M. José Evrard,Contre
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Députés non inscrits,M. Hubert Julien-Laferrière,Contre
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Députés non inscrits,M. Matthieu Orphelin,Contre
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Députés non inscrits,Mme Marie-France Lorho,Abstention
Analyse du scrutin n°3891 - 15e législature - Assemblée nationale,Députés non inscrits,Mme Emmanuelle Ménard,Abstention
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Caroline Abadie,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Damien Adam,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Éric Alauzet,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Patrice Anato,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Pieyre-Alexandre Anglade,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Stéphanie Atger,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Laetitia Avia,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Florian Bachelier,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Didier Baichère,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Françoise Ballet-Blu,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Frédéric Barbier,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Xavier Batut,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Sophie Beaudouin-Hubiere,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Belkhir Belhaddad,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Aurore Bergé,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Barbara Bessot Ballot,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Pascal Bois,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Bruno Bonnell,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Julien Borowczyk,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Éric Bothorel,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Claire Bouchet,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Florent Boudié,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Bertrand Bouyx,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Yaël Braun-Pivet,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Jean-Jacques Bridey,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Anne Brugnera,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Anne-France Brunet,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Pierre Cabaré,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Céline Calvez,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Christophe Castaner,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Lionel Causse,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Jean-René Cazeneuve,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Philippe Chalumeau,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Sylvie Charrière,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Francis Chouat,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Fabienne Colboc,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. François Cormier-Bouligeon,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Bérangère Couillard,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Dominique Da Silva,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Olivier Damaisin,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Catherine Daufès-Roux,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Célia de Lavergne,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Marc Delatte,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Cécile Delpirou,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Frédéric Descrozaille,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Christophe Di Pompeo,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Benjamin Dirx,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Stéphanie Do,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Christelle Dubos,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Coralie Dubost,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Nicolas Démoulin,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Jean-Michel Fauvergue,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Jean-Marie Fiévet,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Alexandre Freschi,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Jean-Luc Fugit,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Raphaël Gauvain,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Laurence Gayte,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Séverine Gipson,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Éric Girardin,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Valérie Gomez-Bassac,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Guillaume Gouffier Valente,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Florence Granjus,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Émilie Guerel,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Stanislas Guerini,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Christine Hennion,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Pierre Henriet,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Alexandre Holroyd,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Sacha Houlié,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Danièle Hérin,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Monique Iborra,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Catherine Kamowski,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Guillaume Kasbarian,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Yannick Kerlogot,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Rodrigue Kokouendo,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Sonia Krimi,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Daniel Labaronne,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Amélia Lakrafi,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Anne-Christine Lang,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Fiona Lazaar,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Didier Le Gac,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Gilles Le Gendre,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Annaïg Le Meur,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Christine Le Nabour,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Fabrice Le Vigoureux,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Marie Lebec,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Jean-Claude Leclabart,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Christophe Leclercq,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Martine Leguille-Balloy,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Christophe Lejeune,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Marion Lenne,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Roland Lescure,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Brigitte Liso,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Mounir Mahjoubi,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Sylvain Maillard,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Laurence Maillart-Méhaignerie,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Jacques Maire,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Jacqueline Maquet,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Jacques Marilossian,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Sandra Marsaud,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Didier Martin,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Stéphane Mazars,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Graziella Melchior,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Ludovic Mendes,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Monica Michel-Brassart,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Patricia Mirallès,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Jean-Michel Mis,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Jean-Baptiste Moreau,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Adrien Morenas,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Cendra Motin,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Claire O'Petit,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Valérie Oppelt,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Catherine Osson,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Didier Paris,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Zivka Park,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Alain Perea,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Patrice Perrot,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Anne-Laurence Petel,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Bénédicte Peyrol,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Michèle Peyron,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Béatrice Piron,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Jean-Pierre Pont,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Natalia Pouzyreff,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Bénédicte Pételle,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Bruno Questel,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Isabelle Rauch,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Rémy Rebeyrotte,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Cécile Rilhac,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Véronique Riotton,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Marie-Pierre Rixain,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Laëtitia Romeiro Dias,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Muriel Roques-Etienne,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Xavier Roseren,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Laurianne Rossi,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Laurent Saint-Martin,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Nathalie Sarles,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Jean-Bernard Sempastous,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Marie Silin,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Thierry Solère,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Denis Sommer,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Buon Tan,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Valérie Thomas,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Huguette Tiegna,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Élisabeth Toutut-Picard,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Nicole Trisse,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Alexandra Valetta Ardisson,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Annie Vidal,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Patrick Vignal,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Guillaume Vuilletet,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Hélène Zannier,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,Mme Marie-Ange Magne,Contre
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Pacôme Rupin,Contre
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Olivier Serva,Contre
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,La République en Marche,M. Richard Ferrand(Présidente de l'Assemblée nationale),Non votant
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,Les Républicains,M. Damien Abad,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,Les Républicains,M. Bernard Bouley,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,Les Républicains,Mme Sandra Boëlle,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,Les Républicains,M. Bernard Brochand,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,Les Républicains,M. Éric Ciotti,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,Les Républicains,M. Charles de la Verpillière,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,Les Républicains,M. Bernard Deflesselles,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,Les Républicains,M. Rémi Delatte,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,Les Républicains,M. Julien Dive,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,Les Républicains,Mme Marianne Dubois,Pour
Analyse du scrutin n°4321 - 15e législature - Assemblée nationale,Les Républicains,M. Jean-Jacques Gaultier,Pour
